,Beer,Brewery,Alcohol(%),Calories,Carbohydrates
0,American Amber Lager,Straub Brewery,4.1,136,10.5g
1,American Lager,Straub Brewery,4.1,132,10.5g
2,American Light,Straub Brewery,3.2,96,7.6g
4,Anchor Steam,Anchor,4.9,153,16.0g
5,Anheuser Busch Natural Light,Anheuser Busch,4.2,95,3.2g
6,Anheuser Busch Natural Ice,Anheuser Busch,5.9,157,8.9g
7,Aspen Edge,Adolph Coors,4.1,94,2.6g
8,Bard’s Gold (Gluten-Free),Bard’s Tale Beer Co,4.6,155,14.2g
10,Big Sky Moose Drool Brown Ale,Big Sky Brewing,5.2,177,15.6g
12,Big Sky Scape Goat Pale Ale,Big Sky Brewing,4.7,163,13.9g
13,Big Sky Summer Honey Ale (seasonal),Big Sky Brewing,4.7,154,11.6g
14,Big Sky Trout Slayer Ale,Big Sky Brewing,4.7,163,13.9g
15,Blatz Beer,Blatz,4.8,153,12.5g
17,Blue Moon,Adolph Coors,5.4,171,13.7g
18,Breckenridge Brown Ale,Breckenridge Brewery,5.6,196,21.9g
19,Breckenridge Red Ale,Breckenridge Brewery,5.5,193,21.8g
20,Bud Dry,Budweiser,5.0,130,7.8g
21,Bud Ice,Budweiser,5.5,123,8.9g
22,Bud Ice Light,Budweiser,5.0,115,7.5g
23,Bud Light,Budweiser,4.2,110,6.6g
24,Bud Light Lime,Budweiser,4.2,116,8.0g
25,Bud Light Platinum,Budweiser,6.0,137,4.4g
26,Budweiser,Budweiser,5.0,145,10.6g
27,Budweiser Black Crown,Budweiser,6.0,146,10g
28,Budweiser Select,Budweiser,4.3,99,3.1g
29,Budweiser Select 55,Budweiser,2.4,55,1.9g
30,Busch Beer,Anheuser Busch,4.6,133,10.2g
31,Busch Ice,Anheuser Busch,5.9,169,12.5g
32,Busch Light,Anheuser Busch,4.1,95,3.2g
33,Carling Black Label,G. Heileman,4.3,138,12.5g
34,Colt 45 Malt Liquor,G. Heileman,6.1,174,11.1g
35,Coors,MillerCoors,4.91,149,12.2g
36,Coors Light,MillerCoors,4.15,104,5.3g
37,Deschutes Twilight Summer Ale,Deschutes Brewery,5.0,162,9.6g
38,Deschutes Chainbreaker White IPA,Deschutes Brewery,5.6,180,10.8g
39,Deschutes Pinedrops IPA,Deschutes Brewery,6.5,190,11.0g
40,Extra Gold Lager,MillerCoors,4.97,152,12.5g
41,Flying Dog Dog Schwarz,Flying Dog Brewery,7.8,222,14.3g
42,Flying Dog Doggie Style,Flying Dog Brewery,4.7,158,11.4g
43,Flying Dog DogtoberFest,Flying Dog Brewery,5.6,165,12.3g
44,Flying Dog Double Dog,Flying Dog Brewery,11.5,313,16.6g
45,Flying Dog Garde Dog,Flying Dog Brewery,5.5,150,9.3g
46,Flying Dog Gonzo,Flying Dog Brewery,9.2,271,18.9g
47,Flying Dog Horn Dog,Flying Dog Brewery,10.2,314,21.5g
48,Flying Dog In Heat Wheat,Flying Dog Brewery,4.7,138,10.4g
49,Flying Dog K-9 Cruiser,Flying Dog Brewery,7.4,197,10.6g
50,Flying Dog Kerberos Tripel,Flying Dog Brewery,8.3,238,8.6g
51,Flying Dog Old Scratch Amber Ale,Flying Dog Brewery,5.5,154,10.2g
52,Flying Dog Raging Bitch,Flying Dog Brewery,8.3,221,11.6g
53,Flying Dog Road Dog,Flying Dog Brewery,6.0,163,9.9g
54,Flying Dog Snake Dog IPA,Flying Dog Brewery,7.1,188,10.0g
55,Flying Dog Tire Bite Golden Ale,Flying Dog Brewery,5.1,129,6.2g
56,Flying Dog Wild Dog: Coffee Stout,Flying Dog Brewery,9.9,288,20.2g
57,Flying Dog Woody Creek White,Flying Dog Brewery,4.8,131,8.0g
58,Genesee Beer,High Falls Brewing,4.5,148,13.5g
59,Genesee Cream Ale,High Falls Brewing,5.1,162,15.0g
60,Genesee Ice,High Falls Brewing,5.9,156,14.5g
61,Genesee Red,High Falls Brewing,4.9,148,14.0g
62,George Killian’s Irish Red,MillerCoors,4.98,162,14.8g
63,Icehouse,MillerCoors,5.5,132,8.7g
64,Icehouse 5.0,MillerCoors,5.5,149,9.8g
65,Icehouse Light,MillerCoors,4.13,103,5.5g
66,Hamm’s Beer,MillerCoors,4.7,144,12.1g
67,Hamm’s Golden Draft,MillerCoors,4.7,144,12.1g
68,Hamm’s Special Light,MillerCoors,3.9,110,8.3g
69,Keystone Premium,Adolph Coors,4.43,111,5.8g
70,Keystone Light,Adolph Coors,4.13,103,5.0g
71,Keystone Ice,Adolph Coors,5.9,142,5.9g
72,Leinenkugel Honey Weiss,Leinenkugel,4.92,149,12.0g
73,Leinenkugel Northwoods Lager,Leinenkugel,4.94,163,15.3g
74,Leinenkugel Original,Leinenkugel,4.67,152,13.9g
75,Leinenkugel Creamy Dark,Leinenkugel,4.94,170,16.8g
76,Leinenkugel Red,Leinenkugel,4.94,166,16.2g
77,Leinenkugel Sunset Wheat,Leinenkugel,4.9,165,16g
78,Leinenkugel Light,Leinenkugel,4.19,105,5.7g
79,Leinenkugel Amber Light,Leinenkugel,4.14,110,7.4g
82,Magnum Malt Liquor,MillerCoors,5.6,157,11.2g
83,Michael Shea’s,High Falls Brewing,4.62,145,13.0g
84,Michelob Amber Boch,Anheuser Busch,5.2,166,15.0g
85,Michelob Beer,Anheuser Busch,5.0,155,13.3g
86,Michelob Golden Draft,Anheuser Busch,4.7,152,14.1g
87,Michelob Golden Draft Light,Anheuser Busch,4.1,110,7.0g
88,Michelob Honey Lager,Anheuser Busch,4.9,175,17.9g
89,Michelob Light,Anheuser Busch,4.3,113,6.7g
90,Michelob Ultra,Anheuser Busch,4.1,95,2.6g
91,Mickey’s Fine Malt Liquor,MillerCoors,5.6,157,11.2g
92,Mickey’s Ice,MillerCoors,5.8,157,11.8g
93,Miller Chill,MillerCoors,4.2,110,6.5g
94,Miller Genuine Draft,MillerCoors,4.7,143,13.1g
95,Miller Genuine Draft Light,MillerCoors,4.2,110,7g
96,Miller Genuine Draft “64”,MillerCoors,2.8,64,2.4g
97,Miller High Life,MillerCoors,4.7,143,13.1g
98,Miller High Life Light,MillerCoors,4.2,110,7g
99,Miller Lite,MillerCoors,4.2,96,3.2g
100,Milwaukee’s Best,MillerCoors,4.3,128,11.4g
101,Miller Lite Brewers Collection Amber,MillerCoors,4.2,110,6.2g
102,Miller Lite Brewers Collection Blonde,MillerCoors,4.2,110,6.2g
103,Miller Lite Brewers Collection Wheat,MillerCoors,4.2,110,6.2g
104,Milwaukee’s Best Premium,MillerCoors,4.3,128,11.4g
105,Milwaukee’s Best Light,MillerCoors,4.2,98,3.5g
106,Milwaukee’s Best Ice,MillerCoors,5.9,144,7.3g
107,New Belgium 1554,New Belgium,5.6,205,25g
108,New Belgium 2 Below,New Belgium,6.6,200,17g
109,New Belgium Abbey,New Belgium,7.0,200,18g
110,New Belgium Blue Paddle,New Belgium,4.8,140,14g
111,New Belgium Fat Tire,New Belgium,5.2,160,15g
112,New Belgium Mothership Wit,New Belgium,4.8,155,15g
113,New Belgium Trippel,New Belgium,7.8,215,20g
114,New Belgium Sunshine Wheat,New Belgium,4.8,145,13g
115,O’Doul’s,Anheuser Busch,0.4,70,13.3g
116,Old Milwaukee Light,Old Milwaukee,3.8,114,8.3g
117,Old Milwaukee Beer,Old Milwaukee,4.5,146,12.9g
118,Olde English 800,MillerCoors,5.9,160,10.5g
119,Olde English 800 7.5,MillerCoors,7.5,202,13.4g
120,Olde English High Gravity 800,MillerCoors,8.0,220,14.6g
121,Olympia Premium Lager,Pabst,4.7,146,11.9g
122,Pabst Blue Ribbon,Pabst,4.65,144,12.01g
124,Pete’s Wicked Ale,,5.3,174,17.7g
125,Red Dog,MillerCoors,5.0,147,14.1g
126,Red Hook ESB,Red Hook,5.77,179,14.15g
127,Red Hook IPA,Red Hook,6.5,188,12.66g
129,Rolling Rock Premium Beer,Latrobe,4.5,120,10.0g
130,Sam Adams Boston Lager,Boston Beer,4.75,160,18.0g
131,Sam Adams Boston Ale,Boston Beer,4.94,160,19.9g
132,Sam Adams Cherry Wheat,Boston Beer,5.2,166,16.86g
133,Sam Adams Cream Stout,Boston Beer,4.69,195,23.94g
135,Sam Adams Light,Boston Beer,4.05,119,9.6g
137,Schaefer Beer,Pabst,4.6,142,12.0g
138,Schlitz Beer,Pabst,4.7,146,12.1g
141,Sierra Nevada Anniversary Ale,Sierra Nevada,5.9,190,17.3g
142,Sierra Nevada Bigfoot,Sierra Nevada,9.6,330,32.1g
143,Sierra Nevada Celebration Ale,Sierra Nevada,6.8,214,19.4g
144,Sierra Nevada Draft Ale,Sierra Nevada,5.0,157,13.4g
145,Sierra Nevada Early Spring Beer,Sierra Nevada,5.9,190,16.7g
146,Sierra Nevada Harvest Ale,Sierra Nevada,6.7,215,19.3g
147,Sierra Nevada India Pale Ale,Sierra Nevada,6.9,231,20.0g
148,Sierra Nevada Pale Ale,Sierra Nevada,5.6,175,14.1g
149,Sierra Nevada Pale Bock,Sierra Nevada,7.0,218,19.7g
150,Sierra Nevada Porter,Sierra Nevada,5.6,194,18.4g
151,Sierra Nevada Stout,Sierra Nevada,5.8,225,22.3g
152,Sierra Nevada Summerfest Beer,Sierra Nevada,5.0,158,13.7g
153,Sierra Nevada Wheat Beer,Sierra Nevada,4.4,153,13.1g
155,Southpaw Light,MillerCoors,5.0,123,6.6g
156,Steel Reserve,MillerCoors,8.1,222,16.0g
157,Steel Reserve Triple Export,MillerCoors,8.1,222,16.0g
158,Steel Reserve Six,MillerCoors,6.0,160,11.0g
160,Stroh’s Beer,Stroh’s,4.6,149,12.0g
161,Stroh’s Light,Stroh’s,4.4,113,7g
162,Summit Horizon Red IPA,Summit Brewing,5.7,195,15g
163,Summit Summer Ale,Summit Brewing,4.5,147,12g
166,Weinhard’s Private Reserve,MillerCoors,4.8,150,9.9g
167,Weinhard’s Amber Light,MillerCoors,4.2,135,11.5g
168,Weinhard’s Hefeweizen,MillerCoors,4.9,151,12.2g
169,Weinhard’s Blonde Lager,MillerCoors,5.1,161,14.0g
170,Weinhard’s Pale Ale,MillerCoors,4.6,147,13g
171,Yuengling Ale,D.G. Yuengilng,5.0,145,10g
172,Yuengling Porter,D.G. Yuengilng,4.5,150,14g
173,Yuengling Premium Beer,D.G. Yuengling,4.4,135,12g
174,Yuengling Light,D.G. Yuengling,3.8,98,6.6g
175,Yuengling Lager,D.G. Yuengling,4.4,135,12g
